2019-02-11 20:27:46: -- 分析开始 On File Change, After Delay
2019-02-11 20:27:47: 变更：87， 冲突：0， 复制时间：0， 复制状态：0， 错误： 0, All: 7136
2019-02-11 20:27:47: Left to Right: Copy File: 87 
2019-02-11 20:27:47: == 同步开始由 On File Change, After Delay
2019-02-11 20:27:49: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15488754532796.html' -> 'ftp://67.218.138.18/15488754532796.html' (7,033)
2019-02-11 20:27:50: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15488759245295.html' -> 'ftp://67.218.138.18/15488759245295.html' (10,306)
2019-02-11 20:27:51: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489006138752.html' -> 'ftp://67.218.138.18/15489006138752.html' (7,201)
2019-02-11 20:27:52: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489009430810.html' -> 'ftp://67.218.138.18/15489009430810.html' (7,607)
2019-02-11 20:27:54: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489020435104.html' -> 'ftp://67.218.138.18/15489020435104.html' (12,686)
2019-02-11 20:27:57: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489020627808.html' -> 'ftp://67.218.138.18/15489020627808.html' (30,947)
2019-02-11 20:27:59: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489020979498.html' -> 'ftp://67.218.138.18/15489020979498.html' (21,852)
2019-02-11 20:28:01: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489027394672.html' -> 'ftp://67.218.138.18/15489027394672.html' (10,926)
2019-02-11 20:28:02: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489085035149.html' -> 'ftp://67.218.138.18/15489085035149.html' (13,409)
2019-02-11 20:28:03: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489461191227.html' -> 'ftp://67.218.138.18/15489461191227.html' (7,542)
2019-02-11 20:28:04: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489464034509.html' -> 'ftp://67.218.138.18/15489464034509.html' (7,538)
2019-02-11 20:28:05: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489651912346.html' -> 'ftp://67.218.138.18/15489651912346.html' (11,486)
2019-02-11 20:28:06: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15490386721045.html' -> 'ftp://67.218.138.18/15490386721045.html' (9,293)
2019-02-11 20:28:07: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15490730271859.html' -> 'ftp://67.218.138.18/15490730271859.html' (9,883)
2019-02-11 20:28:08: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491199202017.html' -> 'ftp://67.218.138.18/15491199202017.html' (8,191)
2019-02-11 20:28:09: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491201239297.html' -> 'ftp://67.218.138.18/15491201239297.html' (7,439)
2019-02-11 20:28:10: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491517438738.html' -> 'ftp://67.218.138.18/15491517438738.html' (8,801)
2019-02-11 20:28:11: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491631190028.html' -> 'ftp://67.218.138.18/15491631190028.html' (8,361)
2019-02-11 20:28:12: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491641978010.html' -> 'ftp://67.218.138.18/15491641978010.html' (23,288)
2019-02-11 20:28:13: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491652924233.html' -> 'ftp://67.218.138.18/15491652924233.html' (12,471)
2019-02-11 20:28:14: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491676278231.html' -> 'ftp://67.218.138.18/15491676278231.html' (16,129)
2019-02-11 20:28:15: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491994910577.html' -> 'ftp://67.218.138.18/15491994910577.html' (8,105)
2019-02-11 20:28:16: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15492077339860.html' -> 'ftp://67.218.138.18/15492077339860.html' (7,444)
2019-02-11 20:28:17: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15492572516091.html' -> 'ftp://67.218.138.18/15492572516091.html' (7,211)
2019-02-11 20:28:17: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493202049462.html' -> 'ftp://67.218.138.18/15493202049462.html' (12,678)
2019-02-11 20:28:18: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493202836603.html' -> 'ftp://67.218.138.18/15493202836603.html' (7,575)
2019-02-11 20:28:19: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493203914367.html' -> 'ftp://67.218.138.18/15493203914367.html' (8,299)
2019-02-11 20:28:21: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493209866703.html' -> 'ftp://67.218.138.18/15493209866703.html' (7,728)
2019-02-11 20:28:22: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493211846680.html' -> 'ftp://67.218.138.18/15493211846680.html' (15,793)
2019-02-11 20:28:22: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493212690604.html' -> 'ftp://67.218.138.18/15493212690604.html' (8,776)
2019-02-11 20:28:23: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493212740845.html' -> 'ftp://67.218.138.18/15493212740845.html' (7,312)
2019-02-11 20:28:24: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493214273326.html' -> 'ftp://67.218.138.18/15493214273326.html' (7,495)
2019-02-11 20:28:25: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493216164928.html' -> 'ftp://67.218.138.18/15493216164928.html' (10,618)
2019-02-11 20:28:26: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493220267804.html' -> 'ftp://67.218.138.18/15493220267804.html' (8,167)
2019-02-11 20:28:27: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493249114828.html' -> 'ftp://67.218.138.18/15493249114828.html' (8,955)
