2019-02-09 11:25:01: File Monitoring not available on: ftp://67.218.138.18
2019-02-09 11:25:01: Remote File System with No monitoring, disconnect
2019-02-09 11:25:02: -- 分析开始 On File Change First Full Analyze Upon File Monitoring Start
2019-02-09 11:25:02: Name '网站相关 | Websites.html' in path '' contains illegal characters, using name '网站相关 _ Websites.html' instead
2019-02-09 11:25:04: On File Change Monitoring started on file:///Users/caoqian/Documents/WebSite/Category
2019-02-09 11:25:50: 变更：81， 冲突：0， 复制时间：0， 复制状态：0， 错误： 0, All: 7109
2019-02-09 11:25:50: Left to Right: Copy File: 81 
2019-02-09 11:25:50: == 同步开始由 On File Change First Full Analyze Upon File Monitoring Start
2019-02-09 11:25:52: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15488754532796.html' -> 'ftp://67.218.138.18/15488754532796.html' (7,183)
2019-02-09 11:25:52: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15488759245295.html' -> 'ftp://67.218.138.18/15488759245295.html' (10,456)
2019-02-09 11:25:53: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489006138752.html' -> 'ftp://67.218.138.18/15489006138752.html' (7,351)
2019-02-09 11:25:53: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489009430810.html' -> 'ftp://67.218.138.18/15489009430810.html' (7,757)
2019-02-09 11:25:54: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489020435104.html' -> 'ftp://67.218.138.18/15489020435104.html' (12,836)
2019-02-09 11:25:55: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489020627808.html' -> 'ftp://67.218.138.18/15489020627808.html' (31,097)
2019-02-09 11:25:56: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489020979498.html' -> 'ftp://67.218.138.18/15489020979498.html' (22,002)
2019-02-09 11:25:57: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489027394672.html' -> 'ftp://67.218.138.18/15489027394672.html' (11,076)
2019-02-09 11:25:58: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489085035149.html' -> 'ftp://67.218.138.18/15489085035149.html' (13,559)
2019-02-09 11:25:59: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489461191227.html' -> 'ftp://67.218.138.18/15489461191227.html' (7,692)
2019-02-09 11:25:59: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489464034509.html' -> 'ftp://67.218.138.18/15489464034509.html' (7,688)
2019-02-09 11:26:00: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489651912346.html' -> 'ftp://67.218.138.18/15489651912346.html' (11,636)
2019-02-09 11:26:01: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15490386721045.html' -> 'ftp://67.218.138.18/15490386721045.html' (9,443)
2019-02-09 11:26:01: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15490730271859.html' -> 'ftp://67.218.138.18/15490730271859.html' (10,033)
2019-02-09 11:26:02: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491199202017.html' -> 'ftp://67.218.138.18/15491199202017.html' (8,341)
2019-02-09 11:26:03: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491201239297.html' -> 'ftp://67.218.138.18/15491201239297.html' (7,589)
2019-02-09 11:26:03: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491517438738.html' -> 'ftp://67.218.138.18/15491517438738.html' (8,951)
2019-02-09 11:26:04: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491631190028.html' -> 'ftp://67.218.138.18/15491631190028.html' (8,511)
2019-02-09 11:26:05: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491641978010.html' -> 'ftp://67.218.138.18/15491641978010.html' (23,438)
2019-02-09 11:26:05: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491652924233.html' -> 'ftp://67.218.138.18/15491652924233.html' (12,621)
2019-02-09 11:26:06: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491676278231.html' -> 'ftp://67.218.138.18/15491676278231.html' (16,279)
2019-02-09 11:26:07: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491994910577.html' -> 'ftp://67.218.138.18/15491994910577.html' (8,255)
